,Gabaergic,Gabaergic,Gabaergic (Lhx5),Gabaergic,Astrocytes (Sparc and Sox9),"Granule neurons (Neurod1, Selm)",Gabaergic,Gabaergic,"NPC(Id3, Id1","Granule neurons (Neurod1, Selm)",10,"Granule neurons (Selm, pax6, atph1, neurod)","Granule Neurons (Selm, Pax6)","Glutamergic (Atoh1, Barhl1)",14,Gabaergic,"Astrocyte (Sparcl1 and S;c1a3, Id3, Ndrg2)",Erythrocytes (BAMBI)
27,Stmn2,Ptms,Psma7,Calm2,Ndrg2,Ccnb2,Ndn,Ly6h,Arl4a,Neurod6,Neurog1,Hnrnpf,Snca,Prdx6,Ppp1r15a,Hist3h2ba,Phgdh,Maged2
28,Stmn4,Cnih2,Ptma,H3f3a,Ttyh1,Zfp36l1,Hist3h2ba,Igfbpl1,Ifitm2,Lmx1a,Rpl37,Prdx1,Igfbp2,Eef1a1,Hscb,Ndn,Cnbp,Anxa5
29,Pcsk1n,Aplp1,Marcksl1,Ppp2r2b,Pfn1,Pea15a,Tubb2a,Hn1,Slc25a5,Calb2,Ptx3,Dek,Gpm6a,Rps24,Adipor1,Tubb5,Cd81,Rgs5
30,Ptms,Evl,Gm27199,Rnd3,Sox9,2700094K13Rik,Evl,Nsg1,Rpl37a,Calm3,Plk3,Rps5,Pcp4,Ddit4,Slc25a37,Tagln3,Ndrg2,Rhoc
31,Hn1,Ntm,Pid1,Nxph4,Rpl32,Pbk,Pafah1b3,Actb,Vim,Aplp1,Pantr1,H2afx,Gm2694,Rpl23,Hebp1,Cfl1,Ybx1,Ramp2
32,Rab3a,Hn1,Cd24a,Tspan13,Phgdh,Anp32b,Ly6h,Aplp1,Anp32b,Tmem158,Rps11,Dut,Pdzrn3,Barhl1,Tspo,H3f3a,Prss23,Foxq1
33,Tubb2a,Vstm2a,Gadd45g,Ebf2,Tmsb4x,Cdk1,Snrpn,Snrpn,Hnrnpf,Mapt,Fam110a,Rps19,Plppr1,Pabpc1,Cd59a,Pfn2,Lxn,Ets1
34,Tspan13,Map1b,Rgmb,Bcl11a,Pdpn,Ccdc34,Hn1,Gm1673,Cd81,Cbln1,Rpl13a,Spc24,Aprt,Rplp2,Rhd,Auts2,Atp2b1,Rps14
35,Rbms1,Dab1,Lgals7,Gap43,Cnbp,Sparc,Tle1,Evl,Rps15,Tubb5,Eef1a1,Pax6,Reln,Slc25a5,Slc48a1,Nsg1,Crip2,Esam
36,Atpif1,Tubb2a,Neurod6,Atpif1,Rpl14,Hmgn3,Sox4,Dusp26,Rps9,Neurod2,Rps15a,Anp32a,Calm1,Cdk4,Dhrs11,Chmp2b,Eef1a1,Rnaset2a
37,Tagln3,Snrpn,Tubb2b,Cfl1,Hes1,Serpinh1,Snca,Ina,Rpl8,Resp18,Rpl37a,Ccnb1,Igsf21,Rps15a,Hbq1b,Cd24a,Fgfr1,Cyba
38,Cfl1,Pcsk1n,Tfap2a,Cirbp,Mt3,Cdc20,Foxp2,Pcp4,Pabpc1,Hist3h2ba,Rpl13,Ldha,Tmem176b,Rps8,Mllt3,Mapt,Acot1,Ppib
39,Blcap,Rab3a,Neurod2,Fdft1,Ckb,Racgap1,Nxph4,Crmp1,Cd63,Gm1673,Slc25a5,Pbk,Clmp,Rps3a1,Slc4a1,Foxp2,Ldha,Mfge8
