,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
62,Nrxn1,Pcna,Gm26793,Gm17750,Mfap2,Calm1,Fam57b,Hist3h2ba,Prkcdbp,H1f0,Lgals7,Gadd45a,Ckb,Dusp26,Hist3h2ba,Rps20,Nhlh1,Ier2,Tmem18
63,Fam57b,Mgst1,Cd200,Ddah2,Naca,Cfl1,Fam20c,Ncam1,Hmgn3,Anp32e,Tppp3,Tmsb4x,Bcl7a,Foxp2,Cirbp,Igsf21,Nell2,Rgs4,Naa15
64,Cadm1,Qk,Pafah1b3,Sqle,Sfrp2,Vamp2,Bcl11a,Sp9,Wnt7b,Sp5,Tmeff1,Epha5,Rgs3,Vamp2,Rnd2,Rplp1,Fam210b,Sept4,Tor1aip2
65,Gad2,Ube2c,Sepw1,Dpysl3,Rpl23,Runx1t1,Sbk1,Lingo1,Sox2,Prdx4,1700025G04Rik,Ppp1r14c,Tpbg,Fam57b,Tubb5,Rsl1d1,Rufy3,Rap1b,Trmt13
66,Jun,Ccdc34,Tspan13,Lgals7,Cyp26b1,Nrgn,Mab21l1,Bcl11b,Ddah1,Ube2c,Spsb4,Sp5,Rpl23,Cox7a2,Ttc9b,Laptm4a,Dynll1,Slc3a2,Fbll1
67,Lbh,Rbbp7,Ndn,1700025G04Rik,Pla2g7,Chn2,Igfbpl1,Asic1,Cspg5,Fbxo5,Cd24a,B3galt2,Cnn3,Ndufa4,Irx2,Rps28,Vat1,Sh3bgrl3,Smurf1
68,Atat1,Rpl41,Pcdh11x,Tubb4a,Id2,H3f3a,Cntnap5a,Pax2,Gpx8,Snrpg,Tubb2b,Usp46,Naca,Mapt,Elavl2,Rab15,Cdhr1,Rhoa,Junb
69,Thra,Ccnb1,Crmp1,Psma7,Rps10,Actl6b,Actl6b,Tmem178,Gsta4,Rps3,Ppib,Ly6e,Tead2,Rac3,Klc1,Id2,Mrps11,Gnai2,Zfp691
70,Dynlrb1,Top2a,Cntnap4,Marcksl1,Cd81,Nefl,Tenm2,Lhx9,Timp4,Top2a,Ldhb,Fam210b,Rpl14,Tubb5,Gdi1,Tead2,Plk3,Egfl7,Zfp654
71,Sepw1,Slc25a5,Kcnip1,Elavl3,Pdpn,Fgf3,Vamp2,Tmem158,Ptprz1,Bub3,Rcor2,Pde1c,Prdx1,Elmo1,Nsg1,Eif5a,Resp18,Uqcr10,Ehbp1l1
72,Hist3h2a,Gmnn,Gng3,Gnas,Rps24,Crip2,Stx7,Atpif1,Tmbim6,Hnrnpa2b1,Ebf1,H3f3b,Lmo1,Dctn3,Ncam1,Fkbp3,Eef2,Ccnd3,Usp46
73,Irf2bpl,Spc25,Serp2,Dnaja1,Ifitm2,Prdx2,Nsg2,Tubb4a,Mdk,Srsf2,Celf3,Pcp4,Ddr1,Ebf3,Sh3bgrl,Brd7,Hs3st5,Tfpi,Atf6
74,Serf1,Lsm2,Podxl2,Gng3,Ranbp1,Evl,Lhx1,Gap43,Efhd2,Tipin,Lmo1,Nkd1,Mycl,Mmd,Barhl1,Hsp90ab1,Elmo1,Fam212a,Wwtr1
75,Pid1,Rpl13,Epha4,Nefm,Rplp2,Ncam1,Map1lc3a,Plk2,Rplp0,Rpl8,Rufy3,Nt5dc2,Rps3a1,Dpysl3,Nbea,Hspd1,Gsg1l,Mfap2,Nat10
76,Uchl1,Tipin,Slit2,Dbn1,Sox9,Nrxn1,Ntm,B630019K06Rik,Pmp22,Srsf3,Tacc2,Tkt,Eif3f,Nr2f1,Gpm6a,Eif3f,Adcyap1,Oaz2,Tmem74b
